-0.002249,-0.000945,-0.003637
-0.003409,-0.002809,-0.003924
-0.002683,-0.000559,-0.004574
-0.003636,-0.000645,-0.004106
-0.008018,0.002465,-0.003987
-0.005879,-0.001166,-0.003536
-0.004824,0.002518,-0.002509
-0.004385,0.001249,-0.004913
-0.004827,0.001730,-0.005071
-0.006093,0.000859,-0.003243
-0.004745,0.001498,-0.004513
-0.002098,0.000830,-0.004423
-0.003057,0.002761,-0.002790
-0.003948,0.000025,-0.004321
-0.005201,0.001274,-0.003147
-0.002484,0.002240,-0.003581
0.004692,-0.000805,-0.007447
0.003851,-0.000930,-0.007042
0.003973,0.000957,-0.010053
0.003644,-0.000493,-0.006956
0.002286,0.000435,-0.007204
0.004402,0.000057,-0.006850
0.003619,0.000999,-0.006591
0.001726,-0.000930,-0.009750
0.003183,0.002089,-0.007984
0.002775,-0.001386,-0.008481
0.004206,0.001356,-0.006518
0.004509,-0.000723,-0.007283
0.004149,0.002021,-0.006892
0.002014,0.001014,-0.006051
0.002854,0.001259,-0.006762
0.003943,0.000432,-0.006818
0.003726,-0.006074,-0.000935
0.002919,-0.006899,-0.000346
0.003491,-0.007239,-0.002985
0.003442,-0.007098,-0.000151
0.003391,-0.005463,-0.001316
0.001505,-0.005809,-0.002680
0.000952,-0.003839,-0.001361
0.002278,-0.007067,-0.002418
0.002803,-0.003482,-0.001206
0.002175,-0.007597,-0.000020
0.003077,-0.004463,-0.001519
0.005467,-0.006198,-0.002266
0.002693,-0.004440,-0.001529
0.002870,-0.004823,-0.000897
0.002754,-0.004527,0.000443
0.006304,-0.003729,-0.000629
0.006203,-0.004300,-0.003192
0.005892,-0.004450,-0.004253
0.004709,-0.005562,-0.004450
0.005773,-0.004444,-0.003329
0.002695,-0.005721,-0.004162
0.003588,-0.005396,-0.004259
0.004362,-0.002927,-0.003543
0.004436,-0.005753,-0.005807
0.006305,-0.001977,-0.005132
0.005350,-0.005134,-0.004111
0.004698,-0.002989,-0.004540
0.005153,-0.004953,-0.003730
0.006817,-0.002810,-0.003616
0.004416,-0.004066,-0.004932
0.004113,-0.003687,-0.002497
0.006868,-0.003684,-0.003447
-0.000766,-0.001154,-0.003079
-0.002676,-0.001577,-0.003700
-0.001438,-0.000977,-0.004763
-0.000537,-0.001404,-0.004056
-0.001749,0.000696,-0.003606
-0.002888,-0.000909,-0.004865
-0.000993,-0.000167,-0.001815
-0.001912,-0.002125,-0.005926
-0.003047,0.001478,-0.002928
-0.001935,-0.000452,-0.003096
-0.003706,0.003137,-0.003417
-0.001052,-0.001719,-0.003383
-0.002161,0.001849,-0.003529
-0.002686,0.002975,-0.001740
-0.002051,0.000653,-0.001449
0.000981,0.000594,-0.002094
